Area|Sources of personal income|Ethnic group|Value|Flags
"Point View"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|2271|
"Point View"|"Self-employment or business"|"Total people, ethnic group"|696|
"Point View"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|858|
"Point View"|"Payments from a work accident insurer"|"Total people, ethnic group"|18|
"Point View"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|351|
"Point View"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|57|
"Point View"|"Unemployment benefit"|"Total people, ethnic group"|75|
"Point View"|"Sickness benefit"|"Total people, ethnic group"|54|
"Point View"|"Domestic purposes benefit"|"Total people, ethnic group"|30|
"Point View"|"Invalids benefit"|"Total people, ethnic group"|33|
"Point View"|"Student allowance"|"Total people, ethnic group"|144|
"Point View"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|93|
"Point View"|"Other sources of income"|"Total people, ethnic group"|72|
"Point View"|"No source of income during that time"|"Total people, ethnic group"|537|
"Point View"|"Total people stated"|"Total people, ethnic group"|4005|
"Point View"|"Not stated"|"Total people, ethnic group"|171|
"Baverstock Oaks"|"Total people, sources of personal income"|"Total people, ethnic group"|5217|
"Baverstock Oaks"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|2931|
"Baverstock Oaks"|"Self-employment or business"|"Total people, ethnic group"|753|
"Baverstock Oaks"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|684|
"Baverstock Oaks"|"Payments from a work accident insurer"|"Total people, ethnic group"|21|
"Baverstock Oaks"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|267|
"Baverstock Oaks"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|54|
"Baverstock Oaks"|"Unemployment benefit"|"Total people, ethnic group"|99|
"Baverstock Oaks"|"Sickness benefit"|"Total people, ethnic group"|126|
"Baverstock Oaks"|"Domestic purposes benefit"|"Total people, ethnic group"|54|
"Baverstock Oaks"|"Invalids benefit"|"Total people, ethnic group"|45|
"Baverstock Oaks"|"Student allowance"|"Total people, ethnic group"|180|
"Baverstock Oaks"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|174|
"Baverstock Oaks"|"Other sources of income"|"Total people, ethnic group"|72|
"Baverstock Oaks"|"No source of income during that time"|"Total people, ethnic group"|675|
"Baverstock Oaks"|"Total people stated"|"Total people, ethnic group"|4953|
"Baverstock Oaks"|"Not stated"|"Total people, ethnic group"|264|
"Mission Heights"|"Total people, sources of personal income"|"Total people, ethnic group"|1902|
"Mission Heights"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1020|
"Mission Heights"|"Self-employment or business"|"Total people, ethnic group"|336|
"Mission Heights"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|288|
"Mission Heights"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Mission Heights"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|93|
"Mission Heights"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|21|
"Mission Heights"|"Unemployment benefit"|"Total people, ethnic group"|27|
"Mission Heights"|"Sickness benefit"|"Total people, ethnic group"|45|
"Mission Heights"|"Domestic purposes benefit"|"Total people, ethnic group"|12|
"Mission Heights"|"Invalids benefit"|"Total people, ethnic group"|9|
"Mission Heights"|"Student allowance"|"Total people, ethnic group"|66|
"Mission Heights"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|66|
"Mission Heights"|"Other sources of income"|"Total people, ethnic group"|30|
"Mission Heights"|"No source of income during that time"|"Total people, ethnic group"|240|
"Mission Heights"|"Total people stated"|"Total people, ethnic group"|1800|
"Mission Heights"|"Not stated"|"Total people, ethnic group"|105|
"Shelly Park"|"Total people, sources of personal income"|"Total people, ethnic group"|1719|
"Shelly Park"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1017|
"Shelly Park"|"Self-employment or business"|"Total people, ethnic group"|297|
"Shelly Park"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|468|
"Shelly Park"|"Payments from a work accident insurer"|"Total people, ethnic group"|21|
"Shelly Park"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|249|
"Shelly Park"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|42|
"Shelly Park"|"Unemployment benefit"|"Total people, ethnic group"|12|
"Shelly Park"|"Sickness benefit"|"Total people, ethnic group"|15|
"Shelly Park"|"Domestic purposes benefit"|"Total people, ethnic group"|12|
"Shelly Park"|"Invalids benefit"|"Total people, ethnic group"|9|
"Shelly Park"|"Student allowance"|"Total people, ethnic group"|33|
"Shelly Park"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|45|
"Shelly Park"|"Other sources of income"|"Total people, ethnic group"|21|
"Shelly Park"|"No source of income during that time"|"Total people, ethnic group"|132|
"Shelly Park"|"Total people stated"|"Total people, ethnic group"|1659|
"Shelly Park"|"Not stated"|"Total people, ethnic group"|54|
"Turanga"|"Total people, sources of personal income"|"Total people, ethnic group"|1695|
"Turanga"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|858|
"Turanga"|"Self-employment or business"|"Total people, ethnic group"|477|
"Turanga"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|516|
"Turanga"|"Payments from a work accident insurer"|"Total people, ethnic group"|12|
"Turanga"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|204|
"Turanga"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|33|
"Turanga"|"Unemployment benefit"|"Total people, ethnic group"|12|
"Turanga"|"Sickness benefit"|"Total people, ethnic group"|15|
"Turanga"|"Domestic purposes benefit"|"Total people, ethnic group"|9|
"Turanga"|"Invalids benefit"|"Total people, ethnic group"|9|
"Turanga"|"Student allowance"|"Total people, ethnic group"|39|
"Turanga"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|21|
"Turanga"|"Other sources of income"|"Total people, ethnic group"|24|
"Turanga"|"No source of income during that time"|"Total people, ethnic group"|156|
"Turanga"|"Total people stated"|"Total people, ethnic group"|1626|
"Turanga"|"Not stated"|"Total people, ethnic group"|72|
"Beachlands-Maraetai"|"Total people, sources of personal income"|"Total people, ethnic group"|5100|
"Beachlands-Maraetai"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|3054|
"Beachlands-Maraetai"|"Self-employment or business"|"Total people, ethnic group"|984|
"Beachlands-Maraetai"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|1158|
"Beachlands-Maraetai"|"Payments from a work accident insurer"|"Total people, ethnic group"|54|
"Beachlands-Maraetai"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|618|
"Beachlands-Maraetai"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|105|
"Beachlands-Maraetai"|"Unemployment benefit"|"Total people, ethnic group"|42|
"Beachlands-Maraetai"|"Sickness benefit"|"Total people, ethnic group"|45|
"Beachlands-Maraetai"|"Domestic purposes benefit"|"Total people, ethnic group"|63|
"Beachlands-Maraetai"|"Invalids benefit"|"Total people, ethnic group"|33|
"Beachlands-Maraetai"|"Student allowance"|"Total people, ethnic group"|69|
"Beachlands-Maraetai"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|180|
"Beachlands-Maraetai"|"Other sources of income"|"Total people, ethnic group"|54|
"Beachlands-Maraetai"|"No source of income during that time"|"Total people, ethnic group"|390|
"Beachlands-Maraetai"|"Total people stated"|"Total people, ethnic group"|4866|
"Beachlands-Maraetai"|"Not stated"|"Total people, ethnic group"|231|
"Otara West"|"Total people, sources of personal income"|"Total people, ethnic group"|2007|
"Otara West"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|723|
"Otara West"|"Self-employment or business"|"Total people, ethnic group"|27|
"Otara West"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|18|
"Otara West"|"Payments from a work accident insurer"|"Total people, ethnic group"|6|
"Otara West"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|108|
"Otara West"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|24|
"Otara West"|"Unemployment benefit"|"Total people, ethnic group"|120|
"Otara West"|"Sickness benefit"|"Total people, ethnic group"|108|
"Otara West"|"Domestic purposes benefit"|"Total people, ethnic group"|159|
"Otara West"|"Invalids benefit"|"Total people, ethnic group"|63|
"Otara West"|"Student allowance"|"Total people, ethnic group"|102|
"Otara West"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|96|
"Otara West"|"Other sources of income"|"Total people, ethnic group"|18|
"Otara West"|"No source of income during that time"|"Total people, ethnic group"|318|
"Otara West"|"Total people stated"|"Total people, ethnic group"|1689|
"Otara West"|"Not stated"|"Total people, ethnic group"|315|
"Wymondley"|"Total people, sources of personal income"|"Total people, ethnic group"|795|
"Wymondley"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|264|
"Wymondley"|"Self-employment or business"|"Total people, ethnic group"|12|
"Wymondley"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|3|
"Wymondley"|"Payments from a work accident insurer"|"Total people, ethnic group"|6|
"Wymondley"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|51|
"Wymondley"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|12|
"Wymondley"|"Unemployment benefit"|"Total people, ethnic group"|57|
"Wymondley"|"Sickness benefit"|"Total people, ethnic group"|51|
"Wymondley"|"Domestic purposes benefit"|"Total people, ethnic group"|57|
"Wymondley"|"Invalids benefit"|"Total people, ethnic group"|33|
"Wymondley"|"Student allowance"|"Total people, ethnic group"|36|
"Wymondley"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|36|
"Wymondley"|"Other sources of income"|"Total people, ethnic group"|9|
"Wymondley"|"No source of income during that time"|"Total people, ethnic group"|105|
"Wymondley"|"Total people stated"|"Total people, ethnic group"|642|
"Wymondley"|"Not stated"|"Total people, ethnic group"|156|
"Grange"|"Total people, sources of personal income"|"Total people, ethnic group"|534|
"Grange"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|291|
"Grange"|"Self-employment or business"|"Total people, ethnic group"|51|
"Grange"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|51|
"Grange"|"Payments from a work accident insurer"|"Total people, ethnic group"|6|
"Grange"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|57|
"Grange"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|9|
"Grange"|"Unemployment benefit"|"Total people, ethnic group"|12|
"Grange"|"Sickness benefit"|"Total people, ethnic group"|15|
"Grange"|"Domestic purposes benefit"|"Total people, ethnic group"|12|
"Grange"|"Invalids benefit"|"Total people, ethnic group"|21|
"Grange"|"Student allowance"|"Total people, ethnic group"|15|
"Grange"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|21|
"Grange"|"Other sources of income"|"Total people, ethnic group"|6|
"Grange"|"No source of income during that time"|"Total people, ethnic group"|48|
"Grange"|"Total people stated"|"Total people, ethnic group"|492|
"Grange"|"Not stated"|"Total people, ethnic group"|39|
"Otara North"|"Total people, sources of personal income"|"Total people, ethnic group"|1164|
"Otara North"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|456|
"Otara North"|"Self-employment or business"|"Total people, ethnic group"|21|
"Otara North"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|12|
"Otara North"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Otara North"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|78|
"Otara North"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|12|
"Otara North"|"Unemployment benefit"|"Total people, ethnic group"|69|
"Otara North"|"Sickness benefit"|"Total people, ethnic group"|60|
"Otara North"|"Domestic purposes benefit"|"Total people, ethnic group"|66|
"Otara North"|"Invalids benefit"|"Total people, ethnic group"|33|
"Otara North"|"Student allowance"|"Total people, ethnic group"|75|
"Otara North"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|48|
"Otara North"|"Other sources of income"|"Total people, ethnic group"|24|
"Otara North"|"No source of income during that time"|"Total people, ethnic group"|150|
"Otara North"|"Total people stated"|"Total people, ethnic group"|966|
"Otara North"|"Not stated"|"Total people, ethnic group"|198|
"Otara East"|"Total people, sources of personal income"|"Total people, ethnic group"|2985|
"Otara East"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1101|
"Otara East"|"Self-employment or business"|"Total people, ethnic group"|48|
"Otara East"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|27|
"Otara East"|"Payments from a work accident insurer"|"Total people, ethnic group"|15|
"Otara East"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|204|
"Otara East"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|42|
"Otara East"|"Unemployment benefit"|"Total people, ethnic group"|174|
"Otara East"|"Sickness benefit"|"Total people, ethnic group"|147|
"Otara East"|"Domestic purposes benefit"|"Total people, ethnic group"|195|
"Otara East"|"Invalids benefit"|"Total people, ethnic group"|99|
"Otara East"|"Student allowance"|"Total people, ethnic group"|132|
"Otara East"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|159|
"Otara East"|"Other sources of income"|"Total people, ethnic group"|27|
"Otara East"|"No source of income during that time"|"Total people, ethnic group"|372|
"Otara East"|"Total people stated"|"Total people, ethnic group"|2433|
"Otara East"|"Not stated"|"Total people, ethnic group"|552|
"Otara South"|"Total people, sources of personal income"|"Total people, ethnic group"|2265|
"Otara South"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|888|
"Otara South"|"Self-employment or business"|"Total people, ethnic group"|36|
"Otara South"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|15|
"Otara South"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Otara South"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|201|
"Otara South"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|36|
"Otara South"|"Unemployment benefit"|"Total people, ethnic group"|132|
"Otara South"|"Sickness benefit"|"Total people, ethnic group"|105|
"Otara South"|"Domestic purposes benefit"|"Total people, ethnic group"|144|
"Otara South"|"Invalids benefit"|"Total people, ethnic group"|63|
"Otara South"|"Student allowance"|"Total people, ethnic group"|105|
"Otara South"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|117|
"Otara South"|"Other sources of income"|"Total people, ethnic group"|24|
"Otara South"|"No source of income during that time"|"Total people, ethnic group"|279|
"Otara South"|"Total people stated"|"Total people, ethnic group"|1923|
"Otara South"|"Not stated"|"Total people, ethnic group"|345|
"Ferguson"|"Total people, sources of personal income"|"Total people, ethnic group"|2661|
"Ferguson"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|987|
"Ferguson"|"Self-employment or business"|"Total people, ethnic group"|48|
"Ferguson"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|15|
"Ferguson"|"Payments from a work accident insurer"|"Total people, ethnic group"|12|
"Ferguson"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|165|
"Ferguson"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|39|
"Ferguson"|"Unemployment benefit"|"Total people, ethnic group"|189|
"Ferguson"|"Sickness benefit"|"Total people, ethnic group"|135|
"Ferguson"|"Domestic purposes benefit"|"Total people, ethnic group"|180|
"Ferguson"|"Invalids benefit"|"Total people, ethnic group"|72|
"Ferguson"|"Student allowance"|"Total people, ethnic group"|117|
"Ferguson"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|132|
"Ferguson"|"Other sources of income"|"Total people, ethnic group"|12|
"Ferguson"|"No source of income during that time"|"Total people, ethnic group"|339|
"Ferguson"|"Total people stated"|"Total people, ethnic group"|2154|
"Ferguson"|"Not stated"|"Total people, ethnic group"|507|
"Rongomai"|"Total people, sources of personal income"|"Total people, ethnic group"|3024|
"Rongomai"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1218|
"Rongomai"|"Self-employment or business"|"Total people, ethnic group"|72|
"Rongomai"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|39|
"Rongomai"|"Payments from a work accident insurer"|"Total people, ethnic group"|12|
"Rongomai"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|168|
"Rongomai"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|42|
"Rongomai"|"Unemployment benefit"|"Total people, ethnic group"|198|
"Rongomai"|"Sickness benefit"|"Total people, ethnic group"|141|
"Rongomai"|"Domestic purposes benefit"|"Total people, ethnic group"|213|
"Rongomai"|"Invalids benefit"|"Total people, ethnic group"|75|
"Rongomai"|"Student allowance"|"Total people, ethnic group"|147|
"Rongomai"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|147|
"Rongomai"|"Other sources of income"|"Total people, ethnic group"|15|
"Rongomai"|"No source of income during that time"|"Total people, ethnic group"|384|
"Rongomai"|"Total people stated"|"Total people, ethnic group"|2541|
"Rongomai"|"Not stated"|"Total people, ethnic group"|486|
"Donegal Park"|"Total people, sources of personal income"|"Total people, ethnic group"|5202|
"Donegal Park"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|2730|
"Donegal Park"|"Self-employment or business"|"Total people, ethnic group"|378|
"Donegal Park"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|402|
"Donegal Park"|"Payments from a work accident insurer"|"Total people, ethnic group"|39|
"Donegal Park"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|432|
"Donegal Park"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|78|
"Donegal Park"|"Unemployment benefit"|"Total people, ethnic group"|174|
"Donegal Park"|"Sickness benefit"|"Total people, ethnic group"|216|
"Donegal Park"|"Domestic purposes benefit"|"Total people, ethnic group"|135|
"Donegal Park"|"Invalids benefit"|"Total people, ethnic group"|126|
"Donegal Park"|"Student allowance"|"Total people, ethnic group"|156|
"Donegal Park"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|204|
"Donegal Park"|"Other sources of income"|"Total people, ethnic group"|45|
"Donegal Park"|"No source of income during that time"|"Total people, ethnic group"|588|
"Donegal Park"|"Total people stated"|"Total people, ethnic group"|4728|
"Donegal Park"|"Not stated"|"Total people, ethnic group"|474|
"Ormiston"|"Total people, sources of personal income"|"Total people, ethnic group"|3900|
"Ormiston"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|2079|
"Ormiston"|"Self-employment or business"|"Total people, ethnic group"|579|
"Ormiston"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|438|
"Ormiston"|"Payments from a work accident insurer"|"Total people, ethnic group"|15|
"Ormiston"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|120|
"Ormiston"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|30|
"Ormiston"|"Unemployment benefit"|"Total people, ethnic group"|78|
"Ormiston"|"Sickness benefit"|"Total people, ethnic group"|108|
"Ormiston"|"Domestic purposes benefit"|"Total people, ethnic group"|36|
"Ormiston"|"Invalids benefit"|"Total people, ethnic group"|30|
"Ormiston"|"Student allowance"|"Total people, ethnic group"|132|
"Ormiston"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|132|
"Ormiston"|"Other sources of income"|"Total people, ethnic group"|33|
"Ormiston"|"No source of income during that time"|"Total people, ethnic group"|522|
"Ormiston"|"Total people stated"|"Total people, ethnic group"|3564|
"Ormiston"|"Not stated"|"Total people, ethnic group"|333|
"Clover Park"|"Total people, sources of personal income"|"Total people, ethnic group"|2922|
"Clover Park"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1311|
"Clover Park"|"Self-employment or business"|"Total people, ethnic group"|72|
"Clover Park"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|45|
"Clover Park"|"Payments from a work accident insurer"|"Total people, ethnic group"|12|
"Clover Park"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|159|
"Clover Park"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|45|
"Clover Park"|"Unemployment benefit"|"Total people, ethnic group"|153|
"Clover Park"|"Sickness benefit"|"Total people, ethnic group"|129|
"Clover Park"|"Domestic purposes benefit"|"Total people, ethnic group"|147|
"Clover Park"|"Invalids benefit"|"Total people, ethnic group"|75|
"Clover Park"|"Student allowance"|"Total people, ethnic group"|120|
"Clover Park"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|150|
"Clover Park"|"Other sources of income"|"Total people, ethnic group"|18|
"Clover Park"|"No source of income during that time"|"Total people, ethnic group"|315|
"Clover Park"|"Total people stated"|"Total people, ethnic group"|2394|
"Clover Park"|"Not stated"|"Total people, ethnic group"|528|
"Redoubt North"|"Total people, sources of personal income"|"Total people, ethnic group"|3714|
"Redoubt North"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1812|
"Redoubt North"|"Self-employment or business"|"Total people, ethnic group"|321|
"Redoubt North"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|282|
"Redoubt North"|"Payments from a work accident insurer"|"Total people, ethnic group"|24|
"Redoubt North"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|288|
"Redoubt North"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|45|
"Redoubt North"|"Unemployment benefit"|"Total people, ethnic group"|147|
"Redoubt North"|"Sickness benefit"|"Total people, ethnic group"|144|
"Redoubt North"|"Domestic purposes benefit"|"Total people, ethnic group"|105|
"Redoubt North"|"Invalids benefit"|"Total people, ethnic group"|63|
"Redoubt North"|"Student allowance"|"Total people, ethnic group"|126|
"Redoubt North"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|144|
"Redoubt North"|"Other sources of income"|"Total people, ethnic group"|33|
"Redoubt North"|"No source of income during that time"|"Total people, ethnic group"|390|
"Redoubt North"|"Total people stated"|"Total people, ethnic group"|3204|
"Redoubt North"|"Not stated"|"Total people, ethnic group"|510|
"Ardmore"|"Total people, sources of personal income"|"Total people, ethnic group"|1131|
"Ardmore"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|546|
"Ardmore"|"Self-employment or business"|"Total people, ethnic group"|279|
"Ardmore"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|231|
"Ardmore"|"Payments from a work accident insurer"|"Total people, ethnic group"|12|
"Ardmore"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|147|
"Ardmore"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|12|
"Ardmore"|"Unemployment benefit"|"Total people, ethnic group"|21|
"Ardmore"|"Sickness benefit"|"Total people, ethnic group"|18|
"Ardmore"|"Domestic purposes benefit"|"Total people, ethnic group"|6|
"Ardmore"|"Invalids benefit"|"Total people, ethnic group"|18|
"Ardmore"|"Student allowance"|"Total people, ethnic group"|24|
"Ardmore"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|33|
"Ardmore"|"Other sources of income"|"Total people, ethnic group"|12|
"Ardmore"|"No source of income during that time"|"Total people, ethnic group"|69|
"Ardmore"|"Total people stated"|"Total people, ethnic group"|1011|
"Ardmore"|"Not stated"|"Total people, ethnic group"|123|
"Totara Heights"|"Total people, sources of personal income"|"Total people, ethnic group"|4722|
"Totara Heights"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|2610|
"Totara Heights"|"Self-employment or business"|"Total people, ethnic group"|624|
"Totara Heights"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|918|
"Totara Heights"|"Payments from a work accident insurer"|"Total people, ethnic group"|39|
"Totara Heights"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|654|
"Totara Heights"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|102|
"Totara Heights"|"Unemployment benefit"|"Total people, ethnic group"|99|
"Totara Heights"|"Sickness benefit"|"Total people, ethnic group"|93|
"Totara Heights"|"Domestic purposes benefit"|"Total people, ethnic group"|72|
"Totara Heights"|"Invalids benefit"|"Total people, ethnic group"|39|
"Totara Heights"|"Student allowance"|"Total people, ethnic group"|96|
"Totara Heights"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|162|
"Totara Heights"|"Other sources of income"|"Total people, ethnic group"|54|
"Totara Heights"|"No source of income during that time"|"Total people, ethnic group"|405|
"Totara Heights"|"Total people stated"|"Total people, ethnic group"|4437|
"Totara Heights"|"Not stated"|"Total people, ethnic group"|282|
"Randwick Park"|"Total people, sources of personal income"|"Total people, ethnic group"|2481|
"Randwick Park"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1230|
"Randwick Park"|"Self-employment or business"|"Total people, ethnic group"|114|
"Randwick Park"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|105|
"Randwick Park"|"Payments from a work accident insurer"|"Total people, ethnic group"|21|
"Randwick Park"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|99|
"Randwick Park"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|12|
"Randwick Park"|"Unemployment benefit"|"Total people, ethnic group"|126|
"Randwick Park"|"Sickness benefit"|"Total people, ethnic group"|111|
"Randwick Park"|"Domestic purposes benefit"|"Total people, ethnic group"|135|
"Randwick Park"|"Invalids benefit"|"Total people, ethnic group"|48|
"Randwick Park"|"Student allowance"|"Total people, ethnic group"|66|
"Randwick Park"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|99|
"Randwick Park"|"Other sources of income"|"Total people, ethnic group"|15|
"Randwick Park"|"No source of income during that time"|"Total people, ethnic group"|306|
"Randwick Park"|"Total people stated"|"Total people, ethnic group"|2157|
"Randwick Park"|"Not stated"|"Total people, ethnic group"|324|
"Hyperion"|"Total people, sources of personal income"|"Total people, ethnic group"|1488|
"Hyperion"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|660|
"Hyperion"|"Self-employment or business"|"Total people, ethnic group"|33|
"Hyperion"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|42|
"Hyperion"|"Payments from a work accident insurer"|"Total people, ethnic group"|15|
"Hyperion"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|51|
"Hyperion"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|12|
"Hyperion"|"Unemployment benefit"|"Total people, ethnic group"|96|
"Hyperion"|"Sickness benefit"|"Total people, ethnic group"|75|
"Hyperion"|"Domestic purposes benefit"|"Total people, ethnic group"|150|
"Hyperion"|"Invalids benefit"|"Total people, ethnic group"|33|
"Hyperion"|"Student allowance"|"Total people, ethnic group"|39|
"Hyperion"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|63|
"Hyperion"|"Other sources of income"|"Total people, ethnic group"|18|
"Hyperion"|"No source of income during that time"|"Total people, ethnic group"|150|
"Hyperion"|"Total people stated"|"Total people, ethnic group"|1236|
"Hyperion"|"Not stated"|"Total people, ethnic group"|252|
"Redoubt East"|"Total people, sources of personal income"|"Total people, ethnic group"|684|
"Redoubt East"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|345|
"Redoubt East"|"Self-employment or business"|"Total people, ethnic group"|174|
"Redoubt East"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|189|
"Redoubt East"|"Payments from a work accident insurer"|"Total people, ethnic group"|6|
"Redoubt East"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|72|
"Redoubt East"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|12|
"Redoubt East"|"Unemployment benefit"|"Total people, ethnic group"|9|
"Redoubt East"|"Sickness benefit"|"Total people, ethnic group"|6|
"Redoubt East"|"Domestic purposes benefit"|"Total people, ethnic group"|3|
"Redoubt East"|"Invalids benefit"|"Total people, ethnic group"|0|
"Redoubt East"|"Student allowance"|"Total people, ethnic group"|18|
"Redoubt East"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|12|
"Redoubt East"|"Other sources of income"|"Total people, ethnic group"|3|
"Redoubt East"|"No source of income during that time"|"Total people, ethnic group"|63|
"Redoubt East"|"Total people stated"|"Total people, ethnic group"|630|
