Area|Age group of sole parent|Sex of sole parent|Year|Value|Flags
"Area Outside Region"|"35-44 years"|"Male sole parent"|"2013"||c
"Area Outside Region"|"35-44 years"|"Female sole parent"|"2013"||c
"Far North District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|813|
"Far North District"|"35-44 years"|"Male sole parent"|"2013"|159|
"Far North District"|"35-44 years"|"Female sole parent"|"2013"|657|
"Whangarei District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1083|
"Whangarei District"|"35-44 years"|"Male sole parent"|"2013"|165|
"Whangarei District"|"35-44 years"|"Female sole parent"|"2013"|921|
"Kaipara District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|192|
"Kaipara District"|"35-44 years"|"Male sole parent"|"2013"|30|
"Kaipara District"|"35-44 years"|"Female sole parent"|"2013"|162|
"Auckland"|"35-44 years"|"Total one parent with dependent children families"|"2013"|16527|
"Auckland"|"35-44 years"|"Male sole parent"|"2013"|2388|
"Auckland"|"35-44 years"|"Female sole parent"|"2013"|14139|
"Rodney Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|516|
"Rodney Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|81|
"Rodney Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|435|
"Hibiscus and Bays Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|888|
"Hibiscus and Bays Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|114|
"Hibiscus and Bays Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|774|
"Upper Harbour Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|519|
"Upper Harbour Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|57|
"Upper Harbour Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|459|
"Kaipatiki Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|921|
"Kaipatiki Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|117|
"Kaipatiki Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|804|
"Devonport-Takapuna Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|555|
"Devonport-Takapuna Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|66|
"Devonport-Takapuna Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|489|
"Henderson-Massey Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1689|
"Henderson-Massey Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|267|
"Henderson-Massey Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|1422|
"Waitakere Ranges Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|609|
"Waitakere Ranges Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|90|
"Waitakere Ranges Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|519|
"Great Barrier Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|9|
"Great Barrier Local Board Area"|"35-44 years"|"Male sole parent"|"2013"||c
"Great Barrier Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|9|
"Waiheke Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|114|
"Waiheke Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|15|
"Waiheke Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|99|
"Waitemata Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|489|
"Waitemata Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|66|
"Waitemata Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|420|
"Whau Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|831|
"Whau Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|126|
"Whau Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|705|
"Albert-Eden Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|978|
"Albert-Eden Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|111|
"Albert-Eden Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|864|
"Puketapapa Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|528|
"Puketapapa Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|69|
"Puketapapa Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|459|
"Orakei Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|621|
"Orakei Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|72|
"Orakei Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|549|
"Maungakiekie-Tamaki Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|933|
"Maungakiekie-Tamaki Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|132|
"Maungakiekie-Tamaki Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|801|
"Howick Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1191|
"Howick Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|156|
"Howick Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|1035|
"Mangere-Otahuhu Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1092|
"Mangere-Otahuhu Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|183|
"Mangere-Otahuhu Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|909|
"Otara-Papatoetoe Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1164|
"Otara-Papatoetoe Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|207|
"Otara-Papatoetoe Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|954|
"Manurewa Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1281|
"Manurewa Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|216|
"Manurewa Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|1068|
"Papakura Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|828|
"Papakura Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|126|
"Papakura Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|702|
"Franklin Local Board Area"|"35-44 years"|"Total one parent with dependent children families"|"2013"|771|
"Franklin Local Board Area"|"35-44 years"|"Male sole parent"|"2013"|117|
"Franklin Local Board Area"|"35-44 years"|"Female sole parent"|"2013"|654|
"Thames-Coromandel District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|291|
"Thames-Coromandel District"|"35-44 years"|"Male sole parent"|"2013"|51|
"Thames-Coromandel District"|"35-44 years"|"Female sole parent"|"2013"|240|
"Hauraki District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|249|
"Hauraki District"|"35-44 years"|"Male sole parent"|"2013"|39|
"Hauraki District"|"35-44 years"|"Female sole parent"|"2013"|210|
"Waikato District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|798|
"Waikato District"|"35-44 years"|"Male sole parent"|"2013"|135|
"Waikato District"|"35-44 years"|"Female sole parent"|"2013"|666|
"Matamata-Piako District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|351|
"Matamata-Piako District"|"35-44 years"|"Male sole parent"|"2013"|51|
"Matamata-Piako District"|"35-44 years"|"Female sole parent"|"2013"|297|
"Hamilton City"|"35-44 years"|"Total one parent with dependent children families"|"2013"|2040|
"Hamilton City"|"35-44 years"|"Male sole parent"|"2013"|309|
"Hamilton City"|"35-44 years"|"Female sole parent"|"2013"|1731|
"Waipa District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|576|
"Waipa District"|"35-44 years"|"Male sole parent"|"2013"|99|
"Waipa District"|"35-44 years"|"Female sole parent"|"2013"|477|
"Otorohanga District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|90|
"Otorohanga District"|"35-44 years"|"Male sole parent"|"2013"|15|
"Otorohanga District"|"35-44 years"|"Female sole parent"|"2013"|72|
"South Waikato District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|336|
"South Waikato District"|"35-44 years"|"Male sole parent"|"2013"|63|
"South Waikato District"|"35-44 years"|"Female sole parent"|"2013"|276|
"Waitomo District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|96|
"Waitomo District"|"35-44 years"|"Male sole parent"|"2013"|18|
"Waitomo District"|"35-44 years"|"Female sole parent"|"2013"|78|
"Taupo District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|426|
"Taupo District"|"35-44 years"|"Male sole parent"|"2013"|60|
"Taupo District"|"35-44 years"|"Female sole parent"|"2013"|369|
"Western Bay of Plenty District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|498|
"Western Bay of Plenty District"|"35-44 years"|"Male sole parent"|"2013"|99|
"Western Bay of Plenty District"|"35-44 years"|"Female sole parent"|"2013"|399|
"Tauranga City"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1716|
"Tauranga City"|"35-44 years"|"Male sole parent"|"2013"|267|
"Tauranga City"|"35-44 years"|"Female sole parent"|"2013"|1449|
"Rotorua District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1083|
"Rotorua District"|"35-44 years"|"Male sole parent"|"2013"|210|
"Rotorua District"|"35-44 years"|"Female sole parent"|"2013"|873|
"Whakatane District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|540|
"Whakatane District"|"35-44 years"|"Male sole parent"|"2013"|99|
"Whakatane District"|"35-44 years"|"Female sole parent"|"2013"|444|
"Kawerau District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|141|
"Kawerau District"|"35-44 years"|"Male sole parent"|"2013"|33|
"Kawerau District"|"35-44 years"|"Female sole parent"|"2013"|108|
"Opotiki District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|129|
"Opotiki District"|"35-44 years"|"Male sole parent"|"2013"|24|
"Opotiki District"|"35-44 years"|"Female sole parent"|"2013"|105|
"Gisborne District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|759|
"Gisborne District"|"35-44 years"|"Male sole parent"|"2013"|150|
"Gisborne District"|"35-44 years"|"Female sole parent"|"2013"|612|
"Wairoa District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|108|
"Wairoa District"|"35-44 years"|"Male sole parent"|"2013"|24|
"Wairoa District"|"35-44 years"|"Female sole parent"|"2013"|84|
"Hastings District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1089|
"Hastings District"|"35-44 years"|"Male sole parent"|"2013"|168|
"Hastings District"|"35-44 years"|"Female sole parent"|"2013"|921|
"Napier City"|"35-44 years"|"Total one parent with dependent children families"|"2013"|948|
"Napier City"|"35-44 years"|"Male sole parent"|"2013"|144|
"Napier City"|"35-44 years"|"Female sole parent"|"2013"|801|
"Central Hawke's Bay District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|126|
"Central Hawke's Bay District"|"35-44 years"|"Male sole parent"|"2013"|24|
"Central Hawke's Bay District"|"35-44 years"|"Female sole parent"|"2013"|102|
"New Plymouth District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|966|
"New Plymouth District"|"35-44 years"|"Male sole parent"|"2013"|177|
"New Plymouth District"|"35-44 years"|"Female sole parent"|"2013"|789|
"Stratford District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|99|
"Stratford District"|"35-44 years"|"Male sole parent"|"2013"|18|
"Stratford District"|"35-44 years"|"Female sole parent"|"2013"|78|
"South Taranaki District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|327|
"South Taranaki District"|"35-44 years"|"Male sole parent"|"2013"|66|
"South Taranaki District"|"35-44 years"|"Female sole parent"|"2013"|258|
"Ruapehu District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|177|
"Ruapehu District"|"35-44 years"|"Male sole parent"|"2013"|27|
"Ruapehu District"|"35-44 years"|"Female sole parent"|"2013"|150|
"Wanganui District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|726|
"Wanganui District"|"35-44 years"|"Male sole parent"|"2013"|132|
"Wanganui District"|"35-44 years"|"Female sole parent"|"2013"|597|
"Rangitikei District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|135|
"Rangitikei District"|"35-44 years"|"Male sole parent"|"2013"|24|
"Rangitikei District"|"35-44 years"|"Female sole parent"|"2013"|111|
"Manawatu District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|324|
"Manawatu District"|"35-44 years"|"Male sole parent"|"2013"|45|
"Manawatu District"|"35-44 years"|"Female sole parent"|"2013"|279|
"Palmerston North City"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1068|
"Palmerston North City"|"35-44 years"|"Male sole parent"|"2013"|174|
"Palmerston North City"|"35-44 years"|"Female sole parent"|"2013"|894|
"Tararua District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|210|
"Tararua District"|"35-44 years"|"Male sole parent"|"2013"|36|
"Tararua District"|"35-44 years"|"Female sole parent"|"2013"|174|
"Horowhenua District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|456|
"Horowhenua District"|"35-44 years"|"Male sole parent"|"2013"|69|
"Horowhenua District"|"35-44 years"|"Female sole parent"|"2013"|384|
"Kapiti Coast District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|630|
"Kapiti Coast District"|"35-44 years"|"Male sole parent"|"2013"|96|
"Kapiti Coast District"|"35-44 years"|"Female sole parent"|"2013"|531|
"Porirua City"|"35-44 years"|"Total one parent with dependent children families"|"2013"|801|
"Porirua City"|"35-44 years"|"Male sole parent"|"2013"|129|
"Porirua City"|"35-44 years"|"Female sole parent"|"2013"|672|
"Upper Hutt City"|"35-44 years"|"Total one parent with dependent children families"|"2013"|516|
"Upper Hutt City"|"35-44 years"|"Male sole parent"|"2013"|84|
"Upper Hutt City"|"35-44 years"|"Female sole parent"|"2013"|435|
"Lower Hutt City"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1290|
"Lower Hutt City"|"35-44 years"|"Male sole parent"|"2013"|210|
"Lower Hutt City"|"35-44 years"|"Female sole parent"|"2013"|1080|
"Wellington City"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1542|
"Wellington City"|"35-44 years"|"Male sole parent"|"2013"|258|
"Wellington City"|"35-44 years"|"Female sole parent"|"2013"|1284|
"Masterton District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|330|
"Masterton District"|"35-44 years"|"Male sole parent"|"2013"|51|
"Masterton District"|"35-44 years"|"Female sole parent"|"2013"|279|
"Carterton District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|90|
"Carterton District"|"35-44 years"|"Male sole parent"|"2013"|15|
"Carterton District"|"35-44 years"|"Female sole parent"|"2013"|72|
"South Wairarapa District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|90|
"South Wairarapa District"|"35-44 years"|"Male sole parent"|"2013"|21|
"South Wairarapa District"|"35-44 years"|"Female sole parent"|"2013"|66|
"Tasman District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|534|
"Tasman District"|"35-44 years"|"Male sole parent"|"2013"|81|
"Tasman District"|"35-44 years"|"Female sole parent"|"2013"|450|
"Nelson City"|"35-44 years"|"Total one parent with dependent children families"|"2013"|600|
"Nelson City"|"35-44 years"|"Male sole parent"|"2013"|96|
"Nelson City"|"35-44 years"|"Female sole parent"|"2013"|501|
"Marlborough District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|444|
"Marlborough District"|"35-44 years"|"Male sole parent"|"2013"|75|
"Marlborough District"|"35-44 years"|"Female sole parent"|"2013"|369|
"Kaikoura District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|36|
"Kaikoura District"|"35-44 years"|"Male sole parent"|"2013"|6|
"Kaikoura District"|"35-44 years"|"Female sole parent"|"2013"|30|
"Buller District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|123|
"Buller District"|"35-44 years"|"Male sole parent"|"2013"|24|
"Buller District"|"35-44 years"|"Female sole parent"|"2013"|99|
"Grey District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|135|
"Grey District"|"35-44 years"|"Male sole parent"|"2013"|27|
"Grey District"|"35-44 years"|"Female sole parent"|"2013"|105|
"Westland District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|63|
"Westland District"|"35-44 years"|"Male sole parent"|"2013"|9|
"Westland District"|"35-44 years"|"Female sole parent"|"2013"|54|
"Hurunui District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|75|
"Hurunui District"|"35-44 years"|"Male sole parent"|"2013"|15|
"Hurunui District"|"35-44 years"|"Female sole parent"|"2013"|60|
"Waimakariri District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|471|
"Waimakariri District"|"35-44 years"|"Male sole parent"|"2013"|60|
"Waimakariri District"|"35-44 years"|"Female sole parent"|"2013"|414|
"Christchurch City"|"35-44 years"|"Total one parent with dependent children families"|"2013"|3702|
"Christchurch City"|"35-44 years"|"Male sole parent"|"2013"|567|
"Christchurch City"|"35-44 years"|"Female sole parent"|"2013"|3132|
"Selwyn District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|270|
"Selwyn District"|"35-44 years"|"Male sole parent"|"2013"|42|
"Selwyn District"|"35-44 years"|"Female sole parent"|"2013"|228|
"Ashburton District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|243|
"Ashburton District"|"35-44 years"|"Male sole parent"|"2013"|36|
"Ashburton District"|"35-44 years"|"Female sole parent"|"2013"|204|
"Timaru District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|441|
"Timaru District"|"35-44 years"|"Male sole parent"|"2013"|63|
"Timaru District"|"35-44 years"|"Female sole parent"|"2013"|378|
"Mackenzie District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|24|
"Mackenzie District"|"35-44 years"|"Male sole parent"|"2013"||c
"Mackenzie District"|"35-44 years"|"Female sole parent"|"2013"|24|
"Waimate District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|51|
"Waimate District"|"35-44 years"|"Male sole parent"|"2013"|9|
"Waimate District"|"35-44 years"|"Female sole parent"|"2013"|42|
"Chatham Islands Territory"|"35-44 years"|"Total one parent with dependent children families"|"2013"||c
"Chatham Islands Territory"|"35-44 years"|"Male sole parent"|"2013"||c
"Chatham Islands Territory"|"35-44 years"|"Female sole parent"|"2013"||c
"Waitaki District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|186|
"Waitaki District"|"35-44 years"|"Male sole parent"|"2013"|21|
"Waitaki District"|"35-44 years"|"Female sole parent"|"2013"|162|
"Central Otago District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|156|
"Central Otago District"|"35-44 years"|"Male sole parent"|"2013"|27|
"Central Otago District"|"35-44 years"|"Female sole parent"|"2013"|135|
"Queenstown-Lakes District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|207|
"Queenstown-Lakes District"|"35-44 years"|"Male sole parent"|"2013"|27|
"Queenstown-Lakes District"|"35-44 years"|"Female sole parent"|"2013"|177|
"Dunedin City"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1233|
"Dunedin City"|"35-44 years"|"Male sole parent"|"2013"|174|
"Dunedin City"|"35-44 years"|"Female sole parent"|"2013"|1062|
"Clutha District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|162|
"Clutha District"|"35-44 years"|"Male sole parent"|"2013"|27|
"Clutha District"|"35-44 years"|"Female sole parent"|"2013"|135|
"Southland District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|177|
"Southland District"|"35-44 years"|"Male sole parent"|"2013"|33|
"Southland District"|"35-44 years"|"Female sole parent"|"2013"|141|
"Gore District"|"35-44 years"|"Total one parent with dependent children families"|"2013"|105|
"Gore District"|"35-44 years"|"Male sole parent"|"2013"|18|
"Gore District"|"35-44 years"|"Female sole parent"|"2013"|90|
"Invercargill City"|"35-44 years"|"Total one parent with dependent children families"|"2013"|690|
"Invercargill City"|"35-44 years"|"Male sole parent"|"2013"|114|
"Invercargill City"|"35-44 years"|"Female sole parent"|"2013"|579|
"Total, Territorial Authority areas"|"35-44 years"|"Total one parent with dependent children families"|"2013"|50925|
"Total, Territorial Authority areas"|"35-44 years"|"Male sole parent"|"2013"|8016|
"Total, Territorial Authority areas"|"35-44 years"|"Female sole parent"|"2013"|42912|
"Area outside territorial authority"|"35-44 years"|"Total one parent with dependent children families"|"2013"||c
"Area outside territorial authority"|"35-44 years"|"Male sole parent"|"2013"||c
"Area outside territorial authority"|"35-44 years"|"Female sole parent"|"2013"||c
"Total, New Zealand by regional council"|"45-54 years"|"Total one parent with dependent children families"|"2013"|34671|
"Total, New Zealand by regional council"|"45-54 years"|"Male sole parent"|"2013"|7461|
"Total, New Zealand by regional council"|"45-54 years"|"Female sole parent"|"2013"|27210|
"Total, New Zealand by territorial authority"|"45-54 years"|"Total one parent with dependent children families"|"2013"|34671|
"Total, New Zealand by territorial authority"|"45-54 years"|"Male sole parent"|"2013"|7461|
"Total, New Zealand by territorial authority"|"45-54 years"|"Female sole parent"|"2013"|27210|
"Northland Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|1518|
"Northland Region"|"45-54 years"|"Male sole parent"|"2013"|372|
"Northland Region"|"45-54 years"|"Female sole parent"|"2013"|1143|
"Auckland Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|11829|
"Auckland Region"|"45-54 years"|"Male sole parent"|"2013"|2337|
"Auckland Region"|"45-54 years"|"Female sole parent"|"2013"|9492|
"Waikato Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|3297|
"Waikato Region"|"45-54 years"|"Male sole parent"|"2013"|699|
"Waikato Region"|"45-54 years"|"Female sole parent"|"2013"|2598|
"Bay of Plenty Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|2484|
"Bay of Plenty Region"|"45-54 years"|"Male sole parent"|"2013"|552|
"Bay of Plenty Region"|"45-54 years"|"Female sole parent"|"2013"|1938|
"Gisborne Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|489|
"Gisborne Region"|"45-54 years"|"Male sole parent"|"2013"|120|
"Gisborne Region"|"45-54 years"|"Female sole parent"|"2013"|369|
"Hawke's Bay Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|1398|
"Hawke's Bay Region"|"45-54 years"|"Male sole parent"|"2013"|318|
"Hawke's Bay Region"|"45-54 years"|"Female sole parent"|"2013"|1077|
"Taranaki Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|846|
"Taranaki Region"|"45-54 years"|"Male sole parent"|"2013"|198|
"Taranaki Region"|"45-54 years"|"Female sole parent"|"2013"|648|
"Manawatu-Wanganui Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|1884|
"Manawatu-Wanganui Region"|"45-54 years"|"Male sole parent"|"2013"|405|
"Manawatu-Wanganui Region"|"45-54 years"|"Female sole parent"|"2013"|1476|
"Wellington Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|3780|
"Wellington Region"|"45-54 years"|"Male sole parent"|"2013"|858|
"Wellington Region"|"45-54 years"|"Female sole parent"|"2013"|2919|
"Tasman Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|351|
"Tasman Region"|"45-54 years"|"Male sole parent"|"2013"|75|
"Tasman Region"|"45-54 years"|"Female sole parent"|"2013"|273|
"Nelson Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|453|
"Nelson Region"|"45-54 years"|"Male sole parent"|"2013"|93|
"Nelson Region"|"45-54 years"|"Female sole parent"|"2013"|360|
"Marlborough Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|294|
"Marlborough Region"|"45-54 years"|"Male sole parent"|"2013"|69|
"Marlborough Region"|"45-54 years"|"Female sole parent"|"2013"|225|
"West Coast Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|183|
"West Coast Region"|"45-54 years"|"Male sole parent"|"2013"|54|
"West Coast Region"|"45-54 years"|"Female sole parent"|"2013"|129|
"Canterbury Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|3999|
"Canterbury Region"|"45-54 years"|"Male sole parent"|"2013"|900|
"Canterbury Region"|"45-54 years"|"Female sole parent"|"2013"|3096|
"Otago Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|1326|
"Otago Region"|"45-54 years"|"Male sole parent"|"2013"|282|
"Otago Region"|"45-54 years"|"Female sole parent"|"2013"|1047|
"Southland Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"|537|
"Southland Region"|"45-54 years"|"Male sole parent"|"2013"|126|
"Southland Region"|"45-54 years"|"Female sole parent"|"2013"|408|
"Total, Regional Council Areas"|"45-54 years"|"Total one parent with dependent children families"|"2013"|34668|
"Total, Regional Council Areas"|"45-54 years"|"Male sole parent"|"2013"|7461|
"Total, Regional Council Areas"|"45-54 years"|"Female sole parent"|"2013"|27207|
"Area Outside Region"|"45-54 years"|"Total one parent with dependent children families"|"2013"||c
"Area Outside Region"|"45-54 years"|"Male sole parent"|"2013"||c
"Area Outside Region"|"45-54 years"|"Female sole parent"|"2013"||c
"Far North District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|630|
"Far North District"|"45-54 years"|"Male sole parent"|"2013"|162|
"Far North District"|"45-54 years"|"Female sole parent"|"2013"|468|
"Whangarei District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|726|
"Whangarei District"|"45-54 years"|"Male sole parent"|"2013"|159|
"Whangarei District"|"45-54 years"|"Female sole parent"|"2013"|564|
"Kaipara District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|162|
"Kaipara District"|"45-54 years"|"Male sole parent"|"2013"|48|
"Kaipara District"|"45-54 years"|"Female sole parent"|"2013"|114|
"Auckland"|"45-54 years"|"Total one parent with dependent children families"|"2013"|11829|
"Auckland"|"45-54 years"|"Male sole parent"|"2013"|2337|
"Auckland"|"45-54 years"|"Female sole parent"|"2013"|9492|
"Rodney Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|426|
"Rodney Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|87|
"Rodney Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|339|
"Hibiscus and Bays Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|732|
"Hibiscus and Bays Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|123|
"Hibiscus and Bays Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|612|
"Upper Harbour Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|366|
"Upper Harbour Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|66|
"Upper Harbour Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|300|
"Kaipatiki Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|627|
"Kaipatiki Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|120|
"Kaipatiki Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|507|
"Devonport-Takapuna Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|576|
"Devonport-Takapuna Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|117|
"Devonport-Takapuna Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|456|
"Henderson-Massey Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|963|
"Henderson-Massey Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|177|
"Henderson-Massey Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|786|
"Waitakere Ranges Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|444|
"Waitakere Ranges Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|78|
"Waitakere Ranges Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|366|
"Great Barrier Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|6|
"Great Barrier Local Board Area"|"45-54 years"|"Male sole parent"|"2013"||c
"Great Barrier Local Board Area"|"45-54 years"|"Female sole parent"|"2013"||c
