Area|Age group|Occupied dwelling type|Value|Flags
"Auckland Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|9426|
"Auckland Region"|"65-69 Years"|"Dwelling in a motor camp"|51|
"Auckland Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|120|
"Auckland Region"|"65-69 Years"|"Improvised dwelling or shelter"|48|
"Auckland Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"Auckland Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|222|
"Auckland Region"|"65-69 Years"|"Occupied private dwelling not further defined"|3021|
"Auckland Region"|"65-69 Years"|"Residential care for older people"|408|
"Auckland Region"|"65-69 Years"|"Public hospital"|15|
"Auckland Region"|"65-69 Years"|"Private hospital"|12|
"Auckland Region"|"65-69 Years"|"Residential and community care facilities"|66|
"Auckland Region"|"65-69 Years"|"Welfare institution"|6|
"Auckland Region"|"65-69 Years"|"Educational institution"|9|
"Auckland Region"|"65-69 Years"|"Religious institution"|0|
"Auckland Region"|"65-69 Years"|"Prison or penal institution"|9|
"Auckland Region"|"65-69 Years"|"Defence establishment"|0|
"Auckland Region"|"65-69 Years"|"Night shelter"|0|
"Auckland Region"|"65-69 Years"|"Total usual residents in institutions"|522|
"Auckland Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|141|
"Auckland Region"|"65-69 Years"|"Boarding house"|45|
"Auckland Region"|"65-69 Years"|"Moto camp/camping ground"|6|
"Auckland Region"|"65-69 Years"|"Work, construction, or training camp"|0|
"Auckland Region"|"65-69 Years"|"Youth, school, or scout/guide camp"|0|
"Auckland Region"|"65-69 Years"|"Communal staff quarters"|6|
"Auckland Region"|"65-69 Years"|"Commercial vessel"|0|
"Auckland Region"|"65-69 Years"|"Marae complex"|0|
"Auckland Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|198|
"Auckland Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"|0|
"Waikato Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|18918|
"Waikato Region"|"65-69 Years"|"Separate house no storey information"|63|
"Waikato Region"|"65-69 Years"|"Separate house with one storey"|12837|
"Waikato Region"|"65-69 Years"|"Separate house with two or more storeys"|3270|
"Waikato Region"|"65-69 Years"|"Total usual residents in separate houses"|16170|
"Waikato Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|15|
"Waikato Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|1137|
"Waikato Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|312|
"Waikato Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|9|
"Waikato Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|1476|
"Waikato Region"|"65-69 Years"|"Dwelling in a motor camp"|21|
"Waikato Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|78|
"Waikato Region"|"65-69 Years"|"Improvised dwelling or shelter"|24|
"Waikato Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"Waikato Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|126|
"Waikato Region"|"65-69 Years"|"Occupied private dwelling not further defined"|939|
"Waikato Region"|"65-69 Years"|"Residential care for older people"|111|
"Waikato Region"|"65-69 Years"|"Public hospital"|0|
"Waikato Region"|"65-69 Years"|"Private hospital"|3|
"Waikato Region"|"65-69 Years"|"Residential and community care facilities"|21|
"Waikato Region"|"65-69 Years"|"Welfare institution"|0|
"Waikato Region"|"65-69 Years"|"Educational institution"|9|
"Waikato Region"|"65-69 Years"|"Religious institution"|3|
"Waikato Region"|"65-69 Years"|"Prison or penal institution"|12|
"Waikato Region"|"65-69 Years"|"Defence establishment"|0|
"Waikato Region"|"65-69 Years"|"Night shelter"|3|
"Waikato Region"|"65-69 Years"|"Total usual residents in institutions"|162|
"Waikato Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|36|
"Waikato Region"|"65-69 Years"|"Boarding house"|3|
"Waikato Region"|"65-69 Years"|"Moto camp/camping ground"|6|
"Waikato Region"|"65-69 Years"|"Work, construction, or training camp"|0|
"Waikato Region"|"65-69 Years"|"Youth, school, or scout/guide camp"|0|
"Waikato Region"|"65-69 Years"|"Communal staff quarters"|0|
"Waikato Region"|"65-69 Years"|"Commercial vessel"|0|
"Waikato Region"|"65-69 Years"|"Marae complex"|0|
"Waikato Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|45|
"Waikato Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"|0|
"Bay of Plenty Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|14010|
"Bay of Plenty Region"|"65-69 Years"|"Separate house no storey information"|39|
"Bay of Plenty Region"|"65-69 Years"|"Separate house with one storey"|8361|
"Bay of Plenty Region"|"65-69 Years"|"Separate house with two or more storeys"|2943|
"Bay of Plenty Region"|"65-69 Years"|"Total usual residents in separate houses"|11343|
"Bay of Plenty Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|6|
"Bay of Plenty Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|1059|
"Bay of Plenty Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|411|
"Bay of Plenty Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|63|
"Bay of Plenty Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|1542|
"Bay of Plenty Region"|"65-69 Years"|"Dwelling in a motor camp"|63|
"Bay of Plenty Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|66|
"Bay of Plenty Region"|"65-69 Years"|"Improvised dwelling or shelter"|33|
"Bay of Plenty Region"|"65-69 Years"|"Roofless or rough sleeper"|3|
"Bay of Plenty Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|162|
"Bay of Plenty Region"|"65-69 Years"|"Occupied private dwelling not further defined"|825|
"Bay of Plenty Region"|"65-69 Years"|"Residential care for older people"|72|
"Bay of Plenty Region"|"65-69 Years"|"Public hospital"||c
"Bay of Plenty Region"|"65-69 Years"|"Private hospital"||c
"Bay of Plenty Region"|"65-69 Years"|"Residential and community care facilities"|15|
"Bay of Plenty Region"|"65-69 Years"|"Welfare institution"||c
"Bay of Plenty Region"|"65-69 Years"|"Educational institution"||c
"Bay of Plenty Region"|"65-69 Years"|"Religious institution"||c
"Bay of Plenty Region"|"65-69 Years"|"Prison or penal institution"||c
"Bay of Plenty Region"|"65-69 Years"|"Defence establishment"||c
"Bay of Plenty Region"|"65-69 Years"|"Night shelter"||c
"Bay of Plenty Region"|"65-69 Years"|"Total usual residents in institutions"|93|
"Bay of Plenty Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|36|
"Bay of Plenty Region"|"65-69 Years"|"Boarding house"||c
"Bay of Plenty Region"|"65-69 Years"|"Moto camp/camping ground"||c
"Bay of Plenty Region"|"65-69 Years"|"Work, construction, or training camp"||c
"Bay of Plenty Region"|"65-69 Years"|"Youth, school, or scout/guide camp"||c
"Bay of Plenty Region"|"65-69 Years"|"Communal staff quarters"||c
"Bay of Plenty Region"|"65-69 Years"|"Commercial vessel"||c
"Bay of Plenty Region"|"65-69 Years"|"Marae complex"||c
"Bay of Plenty Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|42|
"Bay of Plenty Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"||c
"Gisborne Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|1953|
"Gisborne Region"|"65-69 Years"|"Separate house no storey information"|9|
"Gisborne Region"|"65-69 Years"|"Separate house with one storey"|1362|
"Gisborne Region"|"65-69 Years"|"Separate house with two or more storeys"|186|
"Gisborne Region"|"65-69 Years"|"Total usual residents in separate houses"|1560|
"Gisborne Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|3|
"Gisborne Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|165|
"Gisborne Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|24|
"Gisborne Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|3|
"Gisborne Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|195|
"Gisborne Region"|"65-69 Years"|"Dwelling in a motor camp"|0|
"Gisborne Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|12|
"Gisborne Region"|"65-69 Years"|"Improvised dwelling or shelter"|0|
"Gisborne Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"Gisborne Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|15|
"Gisborne Region"|"65-69 Years"|"Occupied private dwelling not further defined"|159|
"Gisborne Region"|"65-69 Years"|"Residential care for older people"|15|
"Gisborne Region"|"65-69 Years"|"Public hospital"||c
"Gisborne Region"|"65-69 Years"|"Private hospital"||c
"Gisborne Region"|"65-69 Years"|"Residential and community care facilities"||c
"Gisborne Region"|"65-69 Years"|"Welfare institution"||c
"Gisborne Region"|"65-69 Years"|"Educational institution"||c
"Gisborne Region"|"65-69 Years"|"Religious institution"||c
"Gisborne Region"|"65-69 Years"|"Prison or penal institution"||c
"Gisborne Region"|"65-69 Years"|"Defence establishment"||c
"Gisborne Region"|"65-69 Years"|"Night shelter"||c
"Gisborne Region"|"65-69 Years"|"Total usual residents in institutions"|18|
"Gisborne Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"||c
"Gisborne Region"|"65-69 Years"|"Boarding house"||c
"Gisborne Region"|"65-69 Years"|"Moto camp/camping ground"||c
"Gisborne Region"|"65-69 Years"|"Work, construction, or training camp"||c
"Gisborne Region"|"65-69 Years"|"Youth, school, or scout/guide camp"||c
"Gisborne Region"|"65-69 Years"|"Communal staff quarters"||c
"Gisborne Region"|"65-69 Years"|"Commercial vessel"||c
"Gisborne Region"|"65-69 Years"|"Marae complex"||c
"Gisborne Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|6|
"Gisborne Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"||c
"Hawke's Bay Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|7929|
"Hawke's Bay Region"|"65-69 Years"|"Separate house no storey information"|24|
"Hawke's Bay Region"|"65-69 Years"|"Separate house with one storey"|5406|
"Hawke's Bay Region"|"65-69 Years"|"Separate house with two or more storeys"|954|
"Hawke's Bay Region"|"65-69 Years"|"Total usual residents in separate houses"|6384|
"Hawke's Bay Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|6|
"Hawke's Bay Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|819|
"Hawke's Bay Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|126|
"Hawke's Bay Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|33|
"Hawke's Bay Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|984|
"Hawke's Bay Region"|"65-69 Years"|"Dwelling in a motor camp"|27|
"Hawke's Bay Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|27|
"Hawke's Bay Region"|"65-69 Years"|"Improvised dwelling or shelter"|15|
"Hawke's Bay Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"Hawke's Bay Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|66|
"Hawke's Bay Region"|"65-69 Years"|"Occupied private dwelling not further defined"|393|
"Hawke's Bay Region"|"65-69 Years"|"Residential care for older people"|54|
"Hawke's Bay Region"|"65-69 Years"|"Public hospital"||c
"Hawke's Bay Region"|"65-69 Years"|"Private hospital"||c
"Hawke's Bay Region"|"65-69 Years"|"Residential and community care facilities"|15|
"Hawke's Bay Region"|"65-69 Years"|"Welfare institution"||c
"Hawke's Bay Region"|"65-69 Years"|"Educational institution"||c
"Hawke's Bay Region"|"65-69 Years"|"Religious institution"||c
"Hawke's Bay Region"|"65-69 Years"|"Prison or penal institution"||c
"Hawke's Bay Region"|"65-69 Years"|"Defence establishment"||c
"Hawke's Bay Region"|"65-69 Years"|"Night shelter"||c
"Hawke's Bay Region"|"65-69 Years"|"Total usual residents in institutions"|72|
"Hawke's Bay Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|15|
"Hawke's Bay Region"|"65-69 Years"|"Boarding house"||c
"Hawke's Bay Region"|"65-69 Years"|"Moto camp/camping ground"|9|
"Hawke's Bay Region"|"65-69 Years"|"Work, construction, or training camp"||c
"Hawke's Bay Region"|"65-69 Years"|"Youth, school, or scout/guide camp"||c
"Hawke's Bay Region"|"65-69 Years"|"Communal staff quarters"||c
"Hawke's Bay Region"|"65-69 Years"|"Commercial vessel"||c
"Hawke's Bay Region"|"65-69 Years"|"Marae complex"||c
"Hawke's Bay Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|27|
"Hawke's Bay Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"||c
"Taranaki Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|5304|
"Taranaki Region"|"65-69 Years"|"Separate house no storey information"|18|
"Taranaki Region"|"65-69 Years"|"Separate house with one storey"|3717|
"Taranaki Region"|"65-69 Years"|"Separate house with two or more storeys"|825|
"Taranaki Region"|"65-69 Years"|"Total usual residents in separate houses"|4563|
"Taranaki Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|9|
"Taranaki Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|336|
"Taranaki Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|78|
"Taranaki Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|15|
"Taranaki Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|435|
"Taranaki Region"|"65-69 Years"|"Dwelling in a motor camp"|12|
"Taranaki Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|9|
"Taranaki Region"|"65-69 Years"|"Improvised dwelling or shelter"|6|
"Taranaki Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"Taranaki Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|27|
"Taranaki Region"|"65-69 Years"|"Occupied private dwelling not further defined"|228|
"Taranaki Region"|"65-69 Years"|"Residential care for older people"|36|
"Taranaki Region"|"65-69 Years"|"Public hospital"||c
"Taranaki Region"|"65-69 Years"|"Private hospital"||c
"Taranaki Region"|"65-69 Years"|"Residential and community care facilities"||c
"Taranaki Region"|"65-69 Years"|"Welfare institution"||c
"Taranaki Region"|"65-69 Years"|"Educational institution"||c
"Taranaki Region"|"65-69 Years"|"Religious institution"||c
"Taranaki Region"|"65-69 Years"|"Prison or penal institution"||c
"Taranaki Region"|"65-69 Years"|"Defence establishment"||c
"Taranaki Region"|"65-69 Years"|"Night shelter"||c
"Taranaki Region"|"65-69 Years"|"Total usual residents in institutions"|42|
"Taranaki Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|9|
"Taranaki Region"|"65-69 Years"|"Boarding house"||c
"Taranaki Region"|"65-69 Years"|"Moto camp/camping ground"||c
"Taranaki Region"|"65-69 Years"|"Work, construction, or training camp"||c
"Taranaki Region"|"65-69 Years"|"Youth, school, or scout/guide camp"||c
"Taranaki Region"|"65-69 Years"|"Communal staff quarters"||c
"Taranaki Region"|"65-69 Years"|"Commercial vessel"||c
"Taranaki Region"|"65-69 Years"|"Marae complex"||c
"Taranaki Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|9|
"Taranaki Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"||c
"Manawatu-Wanganui Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|10989|
"Manawatu-Wanganui Region"|"65-69 Years"|"Separate house no storey information"|27|
"Manawatu-Wanganui Region"|"65-69 Years"|"Separate house with one storey"|8061|
"Manawatu-Wanganui Region"|"65-69 Years"|"Separate house with two or more storeys"|1386|
"Manawatu-Wanganui Region"|"65-69 Years"|"Total usual residents in separate houses"|9468|
"Manawatu-Wanganui Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|9|
"Manawatu-Wanganui Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|783|
"Manawatu-Wanganui Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|81|
"Manawatu-Wanganui Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|3|
"Manawatu-Wanganui Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|876|
"Manawatu-Wanganui Region"|"65-69 Years"|"Dwelling in a motor camp"|15|
"Manawatu-Wanganui Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|27|
"Manawatu-Wanganui Region"|"65-69 Years"|"Improvised dwelling or shelter"|9|
"Manawatu-Wanganui Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"Manawatu-Wanganui Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|51|
"Manawatu-Wanganui Region"|"65-69 Years"|"Occupied private dwelling not further defined"|456|
"Manawatu-Wanganui Region"|"65-69 Years"|"Residential care for older people"|63|
"Manawatu-Wanganui Region"|"65-69 Years"|"Public hospital"|0|
"Manawatu-Wanganui Region"|"65-69 Years"|"Private hospital"|0|
"Manawatu-Wanganui Region"|"65-69 Years"|"Residential and community care facilities"|18|
"Manawatu-Wanganui Region"|"65-69 Years"|"Welfare institution"|0|
"Manawatu-Wanganui Region"|"65-69 Years"|"Educational institution"|6|
"Manawatu-Wanganui Region"|"65-69 Years"|"Religious institution"|6|
"Manawatu-Wanganui Region"|"65-69 Years"|"Prison or penal institution"|15|
"Manawatu-Wanganui Region"|"65-69 Years"|"Defence establishment"|0|
"Manawatu-Wanganui Region"|"65-69 Years"|"Night shelter"|0|
"Manawatu-Wanganui Region"|"65-69 Years"|"Total usual residents in institutions"|108|
"Manawatu-Wanganui Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|24|
"Manawatu-Wanganui Region"|"65-69 Years"|"Boarding house"|3|
"Manawatu-Wanganui Region"|"65-69 Years"|"Moto camp/camping ground"|3|
"Manawatu-Wanganui Region"|"65-69 Years"|"Work, construction, or training camp"|0|
"Manawatu-Wanganui Region"|"65-69 Years"|"Youth, school, or scout/guide camp"|0|
"Manawatu-Wanganui Region"|"65-69 Years"|"Communal staff quarters"|0|
"Manawatu-Wanganui Region"|"65-69 Years"|"Commercial vessel"|0|
"Manawatu-Wanganui Region"|"65-69 Years"|"Marae complex"|0|
"Manawatu-Wanganui Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|27|
"Manawatu-Wanganui Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"|0|
"Wellington Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|19746|
"Wellington Region"|"65-69 Years"|"Separate house no storey information"|57|
"Wellington Region"|"65-69 Years"|"Separate house with one storey"|9837|
"Wellington Region"|"65-69 Years"|"Separate house with two or more storeys"|5655|
"Wellington Region"|"65-69 Years"|"Total usual residents in separate houses"|15549|
"Wellington Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|24|
"Wellington Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|1584|
"Wellington Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|1134|
"Wellington Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|339|
"Wellington Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|3081|
"Wellington Region"|"65-69 Years"|"Dwelling in a motor camp"|27|
"Wellington Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|36|
"Wellington Region"|"65-69 Years"|"Improvised dwelling or shelter"|3|
"Wellington Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"Wellington Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|72|
"Wellington Region"|"65-69 Years"|"Occupied private dwelling not further defined"|786|
"Wellington Region"|"65-69 Years"|"Residential care for older people"|114|
"Wellington Region"|"65-69 Years"|"Public hospital"|3|
"Wellington Region"|"65-69 Years"|"Private hospital"|9|
"Wellington Region"|"65-69 Years"|"Residential and community care facilities"|36|
"Wellington Region"|"65-69 Years"|"Welfare institution"|0|
"Wellington Region"|"65-69 Years"|"Educational institution"|6|
"Wellington Region"|"65-69 Years"|"Religious institution"|3|
"Wellington Region"|"65-69 Years"|"Prison or penal institution"|9|
"Wellington Region"|"65-69 Years"|"Defence establishment"|0|
"Wellington Region"|"65-69 Years"|"Night shelter"|0|
"Wellington Region"|"65-69 Years"|"Total usual residents in institutions"|189|
"Wellington Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|51|
"Wellington Region"|"65-69 Years"|"Boarding house"|18|
"Wellington Region"|"65-69 Years"|"Moto camp/camping ground"|3|
"Wellington Region"|"65-69 Years"|"Work, construction, or training camp"|0|
"Wellington Region"|"65-69 Years"|"Youth, school, or scout/guide camp"|0|
"Wellington Region"|"65-69 Years"|"Communal staff quarters"|0|
"Wellington Region"|"65-69 Years"|"Commercial vessel"|0|
"Wellington Region"|"65-69 Years"|"Marae complex"|0|
"Wellington Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|75|
"Wellington Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"|0|
"Tasman Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|2832|
"Tasman Region"|"65-69 Years"|"Separate house no storey information"|6|
"Tasman Region"|"65-69 Years"|"Separate house with one storey"|1908|
"Tasman Region"|"65-69 Years"|"Separate house with two or more storeys"|585|
"Tasman Region"|"65-69 Years"|"Total usual residents in separate houses"|2499|
"Tasman Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|0|
"Tasman Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|111|
"Tasman Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|27|
"Tasman Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"Tasman Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|141|
"Tasman Region"|"65-69 Years"|"Dwelling in a motor camp"|12|
"Tasman Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|39|
"Tasman Region"|"65-69 Years"|"Improvised dwelling or shelter"|6|
"Tasman Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"Tasman Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|60|
"Tasman Region"|"65-69 Years"|"Occupied private dwelling not further defined"|87|
"Tasman Region"|"65-69 Years"|"Residential care for older people"|12|
"Tasman Region"|"65-69 Years"|"Public hospital"||c
"Tasman Region"|"65-69 Years"|"Private hospital"||c
"Tasman Region"|"65-69 Years"|"Residential and community care facilities"|9|
"Tasman Region"|"65-69 Years"|"Welfare institution"||c
"Tasman Region"|"65-69 Years"|"Educational institution"||c
"Tasman Region"|"65-69 Years"|"Religious institution"||c
"Tasman Region"|"65-69 Years"|"Prison or penal institution"||c
"Tasman Region"|"65-69 Years"|"Defence establishment"||c
"Tasman Region"|"65-69 Years"|"Night shelter"||c
"Tasman Region"|"65-69 Years"|"Total usual residents in institutions"|21|
"Tasman Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|12|
"Tasman Region"|"65-69 Years"|"Boarding house"||c
"Tasman Region"|"65-69 Years"|"Moto camp/camping ground"||c
"Tasman Region"|"65-69 Years"|"Work, construction, or training camp"||c
"Tasman Region"|"65-69 Years"|"Youth, school, or scout/guide camp"||c
"Tasman Region"|"65-69 Years"|"Communal staff quarters"||c
"Tasman Region"|"65-69 Years"|"Commercial vessel"||c
"Tasman Region"|"65-69 Years"|"Marae complex"||c
"Tasman Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|21|
"Tasman Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"||c
"Nelson Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|2448|
"Nelson Region"|"65-69 Years"|"Separate house no storey information"|3|
"Nelson Region"|"65-69 Years"|"Separate house with one storey"|1248|
"Nelson Region"|"65-69 Years"|"Separate house with two or more storeys"|648|
"Nelson Region"|"65-69 Years"|"Total usual residents in separate houses"|1899|
"Nelson Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|0|
"Nelson Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|273|
"Nelson Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|87|
"Nelson Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|12|
"Nelson Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|369|
"Nelson Region"|"65-69 Years"|"Dwelling in a motor camp"|30|
"Nelson Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|15|
"Nelson Region"|"65-69 Years"|"Improvised dwelling or shelter"|3|
"Nelson Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"Nelson Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|48|
"Nelson Region"|"65-69 Years"|"Occupied private dwelling not further defined"|87|
"Nelson Region"|"65-69 Years"|"Residential care for older people"|24|
"Nelson Region"|"65-69 Years"|"Public hospital"||c
"Nelson Region"|"65-69 Years"|"Private hospital"||c
"Nelson Region"|"65-69 Years"|"Residential and community care facilities"|12|
"Nelson Region"|"65-69 Years"|"Welfare institution"||c
"Nelson Region"|"65-69 Years"|"Educational institution"||c
"Nelson Region"|"65-69 Years"|"Religious institution"||c
"Nelson Region"|"65-69 Years"|"Prison or penal institution"||c
"Nelson Region"|"65-69 Years"|"Defence establishment"||c
"Nelson Region"|"65-69 Years"|"Night shelter"||c
"Nelson Region"|"65-69 Years"|"Total usual residents in institutions"|33|
"Nelson Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|12|
"Nelson Region"|"65-69 Years"|"Boarding house"||c
"Nelson Region"|"65-69 Years"|"Moto camp/camping ground"||c
"Nelson Region"|"65-69 Years"|"Work, construction, or training camp"||c
"Nelson Region"|"65-69 Years"|"Youth, school, or scout/guide camp"||c
"Nelson Region"|"65-69 Years"|"Communal staff quarters"||c
"Nelson Region"|"65-69 Years"|"Commercial vessel"||c
"Nelson Region"|"65-69 Years"|"Marae complex"||c
"Nelson Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|12|
"Nelson Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"||c
"Marlborough Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|2883|
"Marlborough Region"|"65-69 Years"|"Separate house no storey information"|6|
"Marlborough Region"|"65-69 Years"|"Separate house with one storey"|1851|
"Marlborough Region"|"65-69 Years"|"Separate house with two or more storeys"|573|
"Marlborough Region"|"65-69 Years"|"Total usual residents in separate houses"|2433|
"Marlborough Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|3|
"Marlborough Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|219|
"Marlborough Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|36|
